,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,2.054954713692519e-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33018413886041387,1.0,1.0,1.0,1.0,0.5932323821280802,1.0,1.0,1.0,1.0,1.0,1.0,1.0
precedence,,2.8635641700877554e-69,1.0,0.04233290442461819,0.8070994231790234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chi2,1.0,1.0,0.6255018941857632,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
succession,,,2.471882338400692e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4770114942528736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reason,,,,chi2,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25938767629793025,1.0,chi2,1.0,1.0,0.1648600325407196,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
result,,,,,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09972564930566133,1.0,chi2,1.0,1.0,0.06587827232554262,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-cond,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-cond,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-negcond,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-negcond,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-goal,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-goal,,,,,,,,,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-denier,,,,,,,,,,,,2.471882338400692e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-denier,,,,,,,,,,,,,8.257958814256208e-09,1.0,1.0,0.5649527686045618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrast,,,,,,,,,,,,,,3.872861760838097e-46,1.0,chi2,1.0,1.0,1.0,1.0,0.022167886725063427,1.0,1.0,1.0,1.0,1.0,1.0,1.0
similarity,,,,,,,,,,,,,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,,,,,,,chi2,1.0,0.5649527686045618,chi2,0.6708704316780031,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
disjunction,,,,,,,,,,,,,,,,,8.257958814256208e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-instance,,,,,,,,,,,,,,,,,,8.257958814256208e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-instance,,,,,,,,,,,,,,,,,,,2.7764967710321713e-52,1.0,0.20345434051742908,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-detail,,,,,,,,,,,,,,,,,,,,1.3776232717491747e-15,0.5975045783381314,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
equivalence,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,0.0011111111111111111,1.0,1.0,1.0,1.0
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
arg1-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
