,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asynchronous,,1.0,0.00642740291055133,0.0,0.0,0.0,0.00419481836780305,0.0,0.0,0.007032993546052235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause,,,1.0,0.0,0.0,0.0,0.0055571342868870575,0.0,0.0,0.004640399788289453,0.0,0.0,0.012341883456182834,0.0,0.0,0.0,0.0
condition,,,,NA,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA,NA,NA,0.0
negative-condition,,,,,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA,NA,NA,0.0
purpose,,,,,,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA,NA,NA,0.0
concession,,,,,,,1.0,0.011506368028107158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,,,,1.0,0.11224105461393596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,1.0,0.0,0.008592630069989038,0.0014360518907852518,0.0,0.0,0.0,0.0
disjunction,,,,,,,,,,,NA,0.0,0.0,NA,NA,NA,0.0
instantiation,,,,,,,,,,,,1.0,0.009204846845909824,0.0,0.0,0.0,0.0
level-of-detail,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
equivalence,,,,,,,,,,,,,,NA,NA,NA,0.0
manner,,,,,,,,,,,,,,,NA,NA,0.0
exception,,,,,,,,,,,,,,,,NA,0.0
substitution,,,,,,,,,,,,,,,,,1.0
