,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
precedence,,,fisher,0.0002849179417930066,2.7655801550420546e-11,fisher,0.002997772913458662,0.014472810698534068,fisher,5.035401289470721e-13,fisher,9.317531435535349e-05,fisher,4.4819205910136215e-15,fisher
succession,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
reason,,,,,1.4280917620958024e-15,fisher,0.014690179882604027,fisher,fisher,6.551951461327915e-15,fisher,0.18484609221714363,fisher,0.0020078484047476868,fisher
result,,,,,,0.002686865820604171,2.99029512790689e-11,3.6088484015157446e-06,0.03144221752439006,7.245781213048698e-67,fisher,3.852440400173653e-14,fisher,1.8364885923625013e-49,fisher
arg1-as-denier,,,,,,,fisher,fisher,fisher,0.00022571233361577098,fisher,fisher,fisher,0.008971047983872117,fisher
arg2-as-denier,,,,,,,,fisher,fisher,1.207671818318062e-10,fisher,0.008095896752907126,fisher,3.5551599522552445e-07,fisher
contrast,,,,,,,,,fisher,4.107466330276883e-05,fisher,fisher,fisher,0.000285431398811176,fisher
similarity,,,,,,,,,,0.00017433708524596637,fisher,fisher,fisher,fisher,fisher
conjunction,,,,,,,,,,,fisher,5.76550065085134e-13,fisher,2.25979131144531e-23,fisher
disjunction,,,,,,,,,,,,fisher,fisher,fisher,fisher
arg2-as-instance,,,,,,,,,,,,,fisher,0.020189561988649872,fisher
arg1-as-detail,,,,,,,,,,,,,,fisher,fisher
arg2-as-detail,,,,,,,,,,,,,,,fisher
arg2-as-subst,,,,,,,,,,,,,,,
